"","numero","refugio","municipio","direccion","uso_inmueble","servicios","capacidad","latitud","longitud","altitud","responsable","telefono","latitud_decimal","longitud_decimal"
"346-365.20",365,"ESC. PRIMARIA","ROSAMORADA","LOS LEANDROS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"21°59'12.67""","105°11'48.24""",20,"RAUL BARO RODARTE","PCM: 319-2340005   CEL. 323-1050294",21.9868527777778,-105.196733333333
"366-385.1",366,"ESC. PRIMARIA","ROSAMORADA","LOS MEDINA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",90,"22°00'12.62""","105°21'25.87""",15,"PEDRO HUIZAR","319-2328200",22.0035055555556,-105.357186111111
"366-385.2",367,"ESC. PRIMARIA","ROSAMORADA","PARAMITAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",90,"22°08'22.34""","105°11'33.88""",30,"ONESIMO FRANCO BOBADILLA","323-2352410",22.1395388888889,-105.192744444444
"366-385.3",368,"SALON EJIDAL","ROSAMORADA","TAMARINDO","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21°57'26.31""","105°14'01.16""",20,"FELICIANO FLORES","319-2321017",21.9573083333333,-105.233655555556
"366-385.4",369,"ESC. PRIMARIA","ROSAMORADA","TAMARINDO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",180,"21°57'26.31""","105°14'01.16""",20,"FELICIANO FLORES","319-2321151",21.9573083333333,-105.233655555556
"366-385.5",370,"ESC. PRIMARIA","ROSAMORADA","SANTA FE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",90,"22°02'09.34""","105°04'23.76""",10,"PANTALEON RIVERA MUÑOZ","PCM: 319-2340005   CEL. 323-1050294",22.0359277777778,-105.073266666667
"366-385.6",371,"ESC. PRIMARIA","ROSAMORADA","ZOMATLAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"22°07'25.53""","105°15'50.66""",20,"SANTOS FLORES MAYORQUIN","200-1247932",22.1237583333333,-105.264072222222
"366-385.7",372,"ESC. PRIMARIA","ROSAMORADA","SAN MIGUELITO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"22°06'28.55""","105°19'18.45""",20,"POLICARPIO DURAN FABIAN","323-2352394",22.1079305555556,-105.321791666667
"366-385.8",373,"ESC. PRIMARIA","ROSAMORADA","TEPONOHUAXTLA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",80,"22°13'28.90""","105°11'25.26""",70,"EDUARDO MARTINEZ G.","200-1268566",22.2246944444444,-105.19035
"366-385.9",374,"ESC. PRIMARIA","ROSAMORADA","VICENTE GUERRERO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",80,"22°00'10.19""","105°22'46.06""",20,"RAFAEL LLAMAS PONCE","319-2335175",22.0028305555556,-105.379461111111
"366-385.10",375,"ESC. PRIMARIA","ROSAMORADA","COFRADIA DE  CUYUTLAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"22°'03'17.38""","105°06'56.78""",20,"CECILIO GONZALEZ ORTIZ","PCM: 319-2340005   CEL. 323-1050294",22.0548277777778,-105.115772222222
"366-385.11",376,"ESC. PRIMARIA","ROSAMORADA","AGUACEDA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"22°01'27.07""","105°01'34.44""",20,"PORFIRIO RAMOS AGUILAR","PCM: 319-2340005   CEL. 323-1050294",22.0241861111111,-105.026233333333
"366-385.12",377,"ESC. PRIMARIA","ROSAMORADA","SAN DIEGO DEL NARANJO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",80,"21°59'04.55""","105°03'38.32""",50,"HORACIO RAMIREZ GAMEZ","PCM: 319-2340005   CEL. 323-1050294",21.9845972222222,-105.060644444444
"366-385.13",378,"ESC. PRIMARIA","ROSAMORADA","LOS ARRAYANES","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"22°05'58.97""","105°06'50.41""",20,"IGNACIO RAMOS RUBIO","PCM: 319-2340005   CEL. 323-1050294",22.0997138888889,-105.114002777778
"366-385.14",379,"ESC. PRIMARIA","ROSAMORADA","SAN JUAN BAUTISTA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",120,"22°02'42.76""","104°56'24.33""",60,"GERMAN IBARRA MUÑIZ","323-2352392",22.0452111111111,-104.940091666667
"366-385.15",380,"ESC. PRIMARIA","ROSAMORADA","BONITAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"22°15'34.22""","105°15'17.53""",60,"J. JESUS BRIONES DE LA PAZ","PCM: 319-2340005   CEL. 323-1050294",22.2595055555556,-105.254869444444
"366-385.16",381,"ESC. PRIMARIA","ROSAMORADA","MOJOCUAHUTLA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"22°05'02.90""","105°02'26.31""",40,"FLORENCIO FLORES","PCM: 319-2340005   CEL. 323-1050294",22.0841388888889,-105.040641666667
"366-385.17",382,"ESC. PRIMARIA","ROSAMORADA","SAN JUAN CORAPAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",70,"22°02'42.53""","104°56'24.22""",100,"FRANCISCO CELEDONIO SANCHEZ","555-1519305",22.0451472222222,-104.940061111111
"366-385.18",383,"ESC. PRIMARIA","ROSAMORADA","COFRADIA DE CUYUTLAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"22°03'17.54""","105°06'56.78""",20,"DIONICIO JIMENEZ OROZCO","PCM: 319-2340005   CEL. 323-1050294",22.0548722222222,-105.115772222222
"366-385.19",384,"ESC. PRIMARIA","ROSAMORADA","EL BALSAMO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"22°09'00.13""","105°03'58.76""",120,"AURELIO ESTRADA CATAÑO","PCM: 319-2340005   CEL. 323-1050294",22.1500361111111,-105.066322222222
"366-385.20",385,"ESC. PRIMARIA","ROSAMORADA","EL OCHENTA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"21°58'16.55""","105|08'57.13""",20,"PRIMITIVO GONZALEZ GARCIA","PCM: 319-2340005   CEL. 323-1050294",21.9712638888889,-105.149202777778
"386-405.1",386,"ESC. PRIMARIA","ROSAMORADA","EL PESCADERO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",90,"22°11'17.05""","105°19'36.62""",15,"JULIAN PALACIOS GONZALEZ","PCM: 319-2340005   CEL. 323-1050294",22.1880694444444,-105.326838888889
"386-405.2",387,"ESC. PRIMARIA","ROSAMORADA","ROSARITO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"22°10'03.38""","105°00'18.39""",400,"ALEJANDRO HUIZAR","555-1503575",22.1676055555556,-105.005108333333
"386-405.3",388,"ESC. PRIMARIA “PROFR. ODILÓN COCULA VALDIVIA”","BAHIA DE BANDERAS","VALLE DE BANDERAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",167,"20""48'21.57""","105ª15'05.01""",40,"ESTHER GARCIA ","329-2910927",20.8059916666667,-105.251391666667
"386-405.4",389,"ESC. PRIMARIA CARLOS COBARRUVIAS POSADA","BAHIA DE BANDERAS","VALLE DE BANDERAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",125,"20ª48'35.98""","105ª14'48.25""",40,"LAURA MORENO","322-1360140",20.8099944444444,-105.246736111111
"386-405.5",390,"ESC. PRIMARIA  20 DE NOVIEMBRE ","BAHIA DE BANDERAS","VALLE DE BANDERAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",156,"20º55'12.88""","105º14'53.27""",40,"ANTONIA PEÑA MORENO ","329-2911121                    322-1729494",20.9202444444444,-105.248130555556
"386-405.6",391,"ESC. SEC. JUSTO SIERRA ","BAHIA DE BANDERAS","VALLE DE BANDERAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",246,"20º48'27.66""","105ª14'49.09""",40,"JOSE ANGEL COVARRUBIAS ","329-2910370",20.8076833333333,-105.246969444444
"386-405.7",392,"JARDIN DE NIÑOS GENERAL IGNACIO ZARAGOZA","BAHIA DE BANDERAS","VALLE DE BANDERAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",123,"20º48'27.21""","105º14'45.83""",40,"DIRECTORA DEL PLANTEL","322-2911129",20.8075583333333,-105.246063888889
"386-405.8",393,"ESCUELA PRIMARIA “EMILIANO ZAPATA” ","BAHIA DE BANDERAS","SAN JOSE DEL VALLE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",229,"20º45'42.68""","105º13'44.84""",40,"ANTONIO LANGARICA PEREZ","329-2950068",20.7618555555556,-105.229122222222
"386-405.9",394,"ESCUELA PRIMARIA “JESUS AGUILAR” ","BAHIA DE BANDERAS","SAN JOSE DEL VALLE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",243,"20º45'47.47""","105º13'36.89""",40,"EDGAR ANTONIO HERNANDEZ ","329-2951051",20.7631861111111,-105.226913888889
"386-405.10",395,"ESC. SEC. FEDERAL “HERMANOS SERDÁN” ","BAHIA DE BANDERAS","SAN JOSE DEL VALLE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",375,"20º45'42.33""","105º13'42.18""",40,"ANTONIO TORRES CORREA","329-2950454                   322-1944008",20.7617583333333,-105.228383333333
"386-405.11",396,"JARDIN DE NIÑOS JUSTO SIERRA MENDEZ","BAHIA DE BANDERAS","SAN JOSE DEL VALLE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",83,"20º45'36.58""","105º13'51.69""",40,"DIRECTORA DEL PLANTEL","329-2950579",20.7601611111111,-105.231025
"386-405.12",397,"ESCUELA PRIMARIA PABLO MONTESINOS","BAHIA DE BANDERAS","SAN JOSE DEL VALLE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",31,"20º45'45.37""","105º13'41.22""",40,"DIRECTOR DEL PLANTEL","PCM: 322-2976571   CEL. 322-1089481",20.7626027777778,-105.228116666667
"386-405.13",398,"ESC. “PROFR. FERNANDO CAMBOA BERSUNSA” ","BAHIA DE BANDERAS","SAN JUAN DE ABAJO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"20º49'00.04""","105ª11'15.21""",40,"MARTIN ESTRADA CERVANTES ","329-2960577",20.8166777777778,-105.187558333333
"386-405.14",399,"ESCUELA PRIMARIA “JOSÉ MARÍA MORELOS” ","BAHIA DE BANDERAS","SAN JUAN DE ABAJO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",204,"20º48'49.38""","105º11'27.10""",40,"ESTHER ALVAREZ GARCIA ","329-2960676",20.8137166666667,-105.190861111111
"386-405.15",400,"ESC. SEC. TEC. JESUS REYES HEROLES","BAHIA DE BANDERAS","SAN JUAN DE ABAJO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",383,"20º49'00.69""","105º11'57.47""",40,"MATEO CERVANTES VILLARREAL ","329-2960154",20.8168583333333,-105.199297222222
"386-405.16",401,"ESC. CECYTEN","BAHIA DE BANDERAS","SAN JUAN DE ABAJO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",309,"20º49'24.27""","105º11'17.55""",40,"LIC. KARLA GABRIELA FLORES PARRA","329-2960937",20.8234083333333,-105.188208333333
"386-405.17",402,"ESC. PRIM. IGNACIO AGUSTIN YAÑEZ","BAHIA DE BANDERAS","SAN JUAN DE ABAJO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",166,"20º48'54.17""","105º11'30.04""",40,"PROFR. ADRIAN CEJA MARTINEZ","PCM: 322-2976571   CEL. 322-1089481",20.8150472222222,-105.191677777778
"386-405.18",403,"JARDIN DE NIÑOS LUIS DONALDO COLOSIO","BAHIA DE BANDERAS","SAN JUAN DE ABAJO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",26,"20º49'09.98""","105º11'23.40""",40,"DIRECTORA DEL PLANTEL","PCM: 322-2976571   CEL. 322-1089481",20.8194388888889,-105.189833333333
"386-405.19",404,"JARDIN DE NIÑOS GABRIELA MISTRAL","BAHIA DE BANDERAS","SAN JUAN DE ABAJO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",20,"20º49'02.86""","105º11'58.78""",40,"DIRECTORA DEL PLANTEL","PCM: 322-2976571   CEL. 322-1089481",20.8174611111111,-105.199661111111
"386-405.20",405,"ESC. PRIM. “GUILLERMO FLORES MUÑOS”","BAHIA DE BANDERAS","EL COATANTE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",56,"20º54'08.66""","105º07'31.62""",60,"PROFR. TONATIU ESPARZA RODRIGUEZ","PCM: 322-2976571   CEL. 322-1089481",20.9024055555556,-105.12545
"406-425.1",406,"TELE SECUNDARIA “CRISTOBAL COLON”","BAHIA DE BANDERAS","EL COATANTE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",42,"20º54'08.66""","105º07'31.62""",60,"PROFR. PEDRO ADRIAN MARTINEZ MEJIA","PCM: 322-2976571   CEL. 322-1089481",20.9024055555556,-105.12545
"406-425.2",407,"ESC. SEC. “ESTEBAN BACA CALDERON”","BAHIA DE BANDERAS","EL COLOMO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",84,"20º52'06.74""","105º09'23.50""",50,"PROFRA. MARTHA REGALADO MARDUEÑO","PCM: 322-2976571   CEL. 322-1089481",20.8685388888889,-105.156527777778
"406-425.3",408,"ESC. PRIM. “AMERICAS UNIDAS”","BAHIA DE BANDERAS","EL COLOMO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",92,"20º52'06.74""","105º09'23.50""",50,"PROFR. JOSE ISIDRO BIZCARA VIDRIO","PCM: 322-2976571   CEL. 322-1089481",20.8685388888889,-105.156527777778
"406-425.4",409,"ESC. PRIM. “EMILIANO ZAPATA”","BAHIA DE BANDERAS","LOS SAUCES","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",32,"20º55'10.21""","105º06'03.33""",20,"PROFRA. DALIA DIAZ VILLA","PCM: 322-2976571   CEL. 322-1089481",20.9195027777778,-105.100925
"406-425.5",410,"TELESECUNDARIA FRANCISCO I. MADERO","BAHIA DE BANDERAS","LOS SAUCES","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",36,"20º55'10.21""","105º06'03.33""",20,"PROFR. JESUS RAMIREZ","PCM: 322-2976571   CEL. 322-1089481",20.9195027777778,-105.100925
"406-425.6",411,"JARDIN DE NIÑOS ENRIQUE PESTALOZI","BAHIA DE BANDERAS","FORTUNA DE VALLEJO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",18,"20º56'15.28""","105º08'41.47""",140,"DIRECTORA DEL PLANTEL","PCM: 322-2976571   CEL. 322-1089481",20.9375777777778,-105.144852777778
"406-425.7",412,"ESC. PRIM. “BENITO JUAREZ”","BAHIA DE BANDERAS","FORTUNA DE VALLEJO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",36,"20º56'15.28""","105º08'41.47""",140,"PROFR. CEAR AGUSTO GRANDE RAMON","PCM: 322-2976571   CEL. 322-1089481",20.9375777777778,-105.144852777778
"406-425.8",413,"ESC. SEC. “AGUSTIN YAÑEZ”","BAHIA DE BANDERAS","FORTUNA DE VALLEJO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",24,"20º56'15.28""","105º08'41.47""",140,"PROFR. MANUEL GARCIA JACOBO","PCM: 322-2976571   CEL. 322-1089481",20.9375777777778,-105.144852777778
"406-425.9",414,"ESC. PRIM. “AMERICA INMORTAL”","BAHIA DE BANDERAS","AGUAMILPA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",104,"20º55'12.49""","105º01'48.44""",20,"PROFRA ANGELA JAIME LLAMAS","329-2950592",20.9201361111111,-105.030122222222
"406-425.10",415,"TELESECUNDARIA “FELIPE CARRILLO”","BAHIA DE BANDERAS","AGUAMILPA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",83,"20º55'12.49""","105º01'48.44""",20,"PROFR. CARLOS ALBERTO FLORES PIÑA","329-2951747",20.9201361111111,-105.030122222222
"406-425.11",416,"JARDIN DE NIÑOS ESTEBAN BACA CALDERON","BAHIA DE BANDERAS","AGUAMILPA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",20,"20º55'12.49""","105º01'48.44""",20,"DIRECTORA DEL PLANTEL","329-2951851",20.9201361111111,-105.030122222222
"406-425.12",417,"ESC. PRIM. “ALFREDO V. BONFIL”","BAHIA DE BANDERAS","SANTA ROSA TAPACHULA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",48,"20º47'16.11""","105º13'46.68""",20,"PROFRA ZULEMA YESENIA BERMUDES HERNANDEZ","PCM: 322-2976571   CEL. 322-1089481",20.7878083333333,-105.229633333333
"406-425.13",418,"JARDIN DE NIÑOS JUAN AMOS COMENIO","BAHIA DE BANDERAS","SANTA ROSA TAPACHULA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"20º47'16.11""","105º13'46.68""",20,"DIRECTORA DEL PLANTEL","PCM: 322-2976571   CEL. 322-1089481",20.7878083333333,-105.229633333333
"406-425.14",419,"ESCUELA NICOLAS BRAVO","BAHIA DE BANDERAS","EL PORVENIR","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",110,"20º45'11.40""","105º14'27.00""",40,"PROFR. JUAN MANUEL RUIZ","PCM: 322-2976571   CEL. 322-1089481",20.7531666666667,-105.240833333333
"406-425.15",420,"JARDIN DE NIÑOS FRANCISCO GABILONDO SOLER","BAHIA DE BANDERAS","EL PORVENIR","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",27,"20º45'11.26""","105º14'31.20""",40,"DIRECTORA DEL PLANTEL","PCM: 322-2976571   CEL. 322-1089481",20.7531277777778,-105.242
"406-425.16",421,"SALON EJIDAL","BAHIA DE BANDERAS","EL PORVENIR","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",75,"20º45'11.58""","105º14'26.97""",40,"ANTONIO ARREOLA GARCIA","PCM: 322-2976571   CEL. 322-1089481",20.7532166666667,-105.240825
"406-425.17",422,"JARDIN DE NIÑOS NUÑO GUZMAN","BAHIA DE BANDERAS","SAN VICENTE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",55,"20º44'29.50""","105º14'48.44""",40,"PROFR. JUAN MANUEL RUIZ","329-2958593",20.7415277777778,-105.246788888889
"406-425.18",423,"ESC. SEC. “LUIS DONALDO COLOSIO MURRIETA” ","BAHIA DE BANDERAS","SAN VICENTE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"20º44'55.42""","105º14'55.83""",40,"DIRECTORA DEL PLANTEL","329-2958779",20.7487277777778,-105.248841666667
"406-425.19",424,"SALON EJIDAL","BAHIA DE BANDERAS","SAN VICENTE","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",75,"20º44'53.09""","105º15'03.60""",40,"GUADALUPE FLORES","PCM: 322-2976571   CEL. 322-1089481",20.7480805555556,-105.251
"406-425.20",425,"ESCUELA JOSE MARIA MERCADO","BAHIA DE BANDERAS","SAN VICENTE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",144,"20º45'13.45""","105º15'11.18""",40,"DIRECTORA DEL PLANTEL","329-2959049",20.7537361111111,-105.253105555556
"426-437.1",426,"ESCUELA PRIMARIA INDEPENDENCIA","BAHIA DE BANDERAS","SAN VICENTE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",156,"20º44'51.97""","105º15'03.27""",40,"MARIA VICTORIA QUIÑONEZ RUESGA","329-2958264",20.7477694444444,-105.250908333333
"426-437.2",427,"ESC. PRIM. “MIGUEL ALEMAN VALDEZ”","BAHIA DE BANDERAS","BUCERIAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",187,"20º45'24.86""","105º19'48.05""",10,"GUADALUPE FLORES","329-2982097",20.7569055555556,-105.330013888889
"426-437.3",428,"COLEGIO PRIVADO","BAHIA DE BANDERAS","BUCERIAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"20º45'10.59""","105º19'39.46""",10,"LIC. MARIA DE LOURDES ROMERO CERNA","329-2980808",20.7529416666667,-105.327627777778
"426-437.4",429,"ESCUELA PRIMARIA OLIVERIO VARGAS","BAHIA DE BANDERAS","BUCERIAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",292,"20º45'24.43""","105º19'47.79""",10,"DIRECTOR DEL PALNTEL","PCM: 322-2976571   CEL. 322-1089481",20.7567861111111,-105.329941666667
"426-437.5",430,"ESC. SEC. “FRAY JUNIPERO SERRA”","BAHIA DE BANDERAS","BUCERIAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"20º45'34.36""","105º20'28.96""",10,"ALFREDO MACHAIN VILLA","329-2980106",20.7595444444444,-105.341377777778
"426-437.6",431,"ESCUELA PRIMARIA JOSE CLEMENTE OROZCO","BAHIA DE BANDERAS","EL GUAMUCHIL","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",41,"20º49'07.65""","105º23'10.80""",280,"DIRECTOR DEL PLANTEL","PCM: 322-2976571   CEL. 322-1089481",20.8187916666667,-105.386333333333
"426-437.7",432,"JARDIN DE NIÑOS PARTCHI","BAHIA DE BANDERAS","JARRETADERAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",292,"20º41'25.47""","105º16'57.95""",20,"DIRECTORA DEL PLANTEL","PCM: 322-2976571   CEL. 322-1089481",20.6904083333333,-105.282763888889
"426-437.8",433,"SALON EJIDAL","BAHIA DE BANDERAS","JARRETADERAS","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",260,"20º41'33.41""","105º16'26.29""",20,"PRESIDENTE DEL COMISARIADO EJIDAL","PCM: 322-2976571   CEL. 322-1089481",20.6926138888889,-105.273969444444
"426-437.10",435,"ESC. PRIM. “MAXIMO HERNANDEZ ESCANIO”","BAHIA DE BANDERAS","MEZCALES","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",132,"20º43'45.63""","105º16'58.32""",20,"ALBERTO CARLOS AGUIRRE","322-2965484",20.7293416666667,-105.282866666667
"426-437.11",436,"ESCUELA SECUNDARIA FRANCISCO JAVIER MINA","BAHIA DE BANDERAS","MEZCALES","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",83,"20º43'56.56""","105º17'10.24""",20,"DIRECTOR DEL PLANTEL","PCM: 322-2976571   CEL. 322-1089481",20.7323777777778,-105.286177777778
"426-437.12",437,"ESC. SEC. “ADOLFO LOPEZ MATEOS”","BAHIA DE BANDERAS","MEZCALES","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",72,"20º43'26.81""","105º17'00.07""",20,"ELVA LIDIA LOPEZ","322-1375936",20.7241138888889,-105.283352777778
